1
243 476
148 241 39022
241 6 58705
6 81 39796
81 235 9836
235 216 85893
216 203 76682
203 199 20514
199 79 99068
79 220 82731
220 194 12690
194 105 57072
105 87 70299
87 59 27893
59 98 6298
98 55 59501
55 113 18190
113 100 6218
100 168 12765
168 29 19999
29 49 12240
49 31 68649
31 215 80824
215 69 71001
69 71 29228
71 188 17648
188 21 17484
21 28 47522
28 198 31034
198 128 52010
128 209 52656
209 229 35252
229 88 48241
88 240 43744
240 33 75018
33 15 37598
15 116 70123
116 52 15786
52 176 94870
176 155 59074
155 2 82729
2 177 14085
177 143 86294
143 211 46369
211 91 4093
91 142 679
142 82 48765
82 242 62053
242 40 9055
40 139 34518
139 99 13876
99 159 73552
159 150 98745
150 138 96224
138 174 27216
174 145 82142
145 11 55251
11 232 21820
232 25 89334
25 57 28998
57 68 81832
68 243 31279
243 47 16003
47 66 28070
66 185 49632
185 152 21995
152 236 27159
236 189 60426
189 213 24786
213 224 82461
224 36 9842
36 58 27811
58 60 26838
60 231 71682
231 210 13629
210 30 94852
30 112 45029
112 218 72428
218 39 29291
39 223 2103
223 94 71778
94 86 53268
86 204 46268
204 221 33211
221 173 40245
173 202 82882
202 200 33709
200 89 48615
89 130 14021
130 118 90896
118 24 76566
24 147 66043
147 70 72775
70 27 82145
27 67 18189
67 110 350
110 93 91727
93 114 68897
114 19 14716
19 197 17416
197 124 68122
124 42 50686
42 54 64114
54 234 58163
234 137 78977
137 125 97439
125 206 43616
206 106 68506
106 35 30103
35 32 22860
32 193 3324
193 63 80797
63 126 52934
126 1 43120
1 141 4562
141 132 22554
132 61 67020
61 208 12469
208 207 60066
207 51 82943
51 140 24412
140 9 43013
9 75 55778
75 181 96149
181 222 92043
222 157 293
157 74 26684
74 146 72327
146 111 25184
111 85 17944
85 219 28353
219 237 13352
237 41 22118
41 151 426
151 104 26255
104 37 1531
37 102 78247
102 56 40996
56 186 38504
186 166 5469
166 154 34201
154 115 6425
115 228 38851
228 18 5722
18 226 10934
226 212 49064
212 227 6405
227 3 52268
3 8 21960
8 84 27149
84 76 23819
76 80 48585
80 46 38803
46 183 25139
183 109 77988
109 192 47347
192 239 31689
239 20 46221
20 191 5027
191 195 35875
195 122 1470
122 135 53411
135 233 58078
233 162 84205
162 127 39410
127 178 78334
178 45 42977
45 129 14918
129 107 11028
107 121 85763
121 170 63412
170 22 37740
22 53 89191
53 17 90868
17 43 55847
43 23 97285
23 26 73926
26 7 41199
7 34 97872
34 65 38557
65 14 84176
14 205 58120
205 171 94126
171 169 26786
169 10 80729
10 156 74712
156 217 98689
217 13 18379
13 48 83301
48 108 90925
108 12 37493
12 163 48838
163 101 10065
101 92 49492
92 77 22035
77 73 524
73 38 96473
38 167 30018
167 238 30118
238 179 47395
179 134 34261
134 62 70831
62 103 82544
103 90 83871
90 5 31048
5 117 56294
117 4 27033
4 16 61238
16 164 7114
164 190 82618
190 78 72838
78 214 79723
214 120 7507
120 44 90098
44 95 78187
95 96 2702
96 149 10376
149 144 47336
144 133 65658
133 97 1197
97 184 43836
184 175 60554
175 83 95373
83 196 52296
196 158 73829
158 225 51126
225 131 63366
131 182 26030
182 50 19084
50 230 41278
230 64 1422
64 160 52917
160 180 5234
180 119 10430
119 165 529
165 172 46947
172 153 38155
153 123 74575
123 161 34068
161 201 62324
201 187 45747
187 136 48157
136 72 57979
37 135 72168
46 173 5262
156 178 42176
122 4 35904
31 130 15727
29 55 6150
65 237 43396
224 78 11339
99 21 13614
91 90 76875
4 130 55954
101 196 64310
233 95 30082
181 198 90632
71 216 70129
95 166 25521
117 181 69200
30 19 71754
236 45 64448
189 13 55578
128 229 89068
217 106 4535
211 13 63710
92 38 47209
36 92 75936
119 65 4174
54 120 89033
219 9 10763
38 76 78319
207 36 74605
39 23 13855
156 160 58319
96 211 24659
92 34 45539
91 122 46443
179 48 26255
210 242 60700
140 85 74777
237 161 88617
28 220 22407
50 236 63366
35 237 94730
117 156 36356
75 61 62969
115 210 94930
230 33 19180
15 94 35007
6 133 46160
3 116 94864
147 157 2205
2 227 38456
173 169 2735
101 84 57795
150 170 76769
5 137 44316
46 1 87246
71 3 7696
136 216 88737
142 227 44737
62 219 6508
162 152 96560
170 92 38685
160 198 56262
156 136 17088
168 162 18795
35 186 7904
124 205 31248
107 176 69888
82 140 86150
190 7 69561
242 17 79727
6 216 53477
81 169 46088
136 159 77277
88 236 53778
96 173 36717
222 212 64226
14 73 86367
132 88 68496
228 12 66344
46 43 46319
54 71 64922
93 45 14030
18 198 58502
104 91 41646
95 238 6425
106 203 1095
183 35 98055
139 82 78905
52 213 23918
51 220 2378
72 191 58580
110 13 76760
41 230 50416
212 233 19654
149 66 47074
183 185 69657
134 66 42030
217 83 40245
196 41 57501
164 63 11017
111 160 5803
149 136 12843
114 185 99211
2 176 45345
89 95 3179
39 123 92695
169 150 26780
148 55 77056
165 162 3867
162 128 99539
219 36 97784
90 57 19287
108 1 36271
73 1 50349
91 108 53497
103 152 1017
52 99 60026
231 178 98575
167 101 62461
52 13 32421
60 86 98427
152 161 15448
122 128 5049
113 121 44072
72 9 90020
123 7 23252
50 179 25969
26 200 18656
223 219 44777
193 86 59993
28 19 64352
202 16 79170
230 158 50692
36 99 72397
77 87 62989
234 27 32284
24 77 42038
172 125 96168
195 174 51584
236 47 8689
121 114 37567
132 129 36901
105 141 14201
113 205 93738
166 24 37167
154 197 67017
224 24 17883
49 101 53432
43 104 27072
156 89 43173
18 125 10596
18 12 15631
46 60 99259
68 27 46830
232 81 53810
77 101 95104
198 102 74370
54 243 62449
122 96 26065
138 88 71885
92 177 52956
134 236 65085
130 129 79055
213 9 51133
138 73 38469
71 150 22772
124 147 11329
205 114 6427
204 21 63188
199 33 38314
100 120 70434
155 28 35540
113 53 24039
83 209 45155
22 241 43766
18 51 63487
213 33 21072
207 122 45629
152 20 99579
133 35 90663
181 73 28212
140 77 42288
175 132 27649
190 131 45153
142 38 56025
196 222 59980
31 165 63974
103 143 84741
176 14 76068
14 227 9059
219 40 75580
56 147 62802
48 145 59268
161 80 23787
130 182 80615
232 179 3904
70 142 28005
147 25 85693
35 175 2625
169 15 72849
45 176 27954
190 215 67347
204 138 73484
40 221 3141
13 108 56199
17 183 8478
174 166 776
129 4 8565
176 140 31676
180 52 91633
50 81 46494
147 77 66362
82 23 4733
52 107 59749
21 143 22929
231 3 85650
165 143 57520
21 101 13315
18 25 912
45 59 96741
129 195 51516
18 5 45366
193 93 45241
59 69 60428
224 15 70080
60 227 93242
230 199 678
224 100 50736
207 123 20359
18 85 94039
200 207 90087
159 157 16110
88 107 98729
828 242 647 851 533 846 413 127 450 633 618 535 499 518 529 291 810 280 40 92 170 652 258 109 3 917 730 909 57 65 805 727 594 415 477 666 800 616 427 277 51 490 892 570 844 687 299 265 79 271 309 168 124 782 77 735 508 954 327 590 800 490 685 475 905 927 800 267 83 735 498 220 743 630 350 650 896 837 913 554 266 320 663 415 794 147 705 139 644 625 694 237 300 674 805 491 585 616 581 800 619 695 139 754 7 127 603 516 445 744 293 102 164 688 44 860 903 486 154 311 517 157 679 587 676 449 83 933 219 324 373 248 4 208 642 826 710 823 9 596 93 342 90 624 971 962 228 565 570 384 632 894 156 392 523 9 267 561 271 681 947 929 336 644 305 917 92 584 938 588 57 980 431 177 317 314 471 903 967 171 245 281 871 866 882 418 590 867 692 16 876 753 255 156 895 396 13 968 232 302 973 741 621 972 17 137 696 507 786 303 909 903 572 329 433 445 348 384 271 493 375 126 665 932 937 637 512 502 287 889 939 460 120 354 966 900 562 476 602 522 56 293 471
