100000 200000
3194 3217 558737068
45437 45448 800721851
11212 11213 491922781
40412 40413 840962947
36591 36610 591850004
34161 34162 558610102
75565 75586 312055023
55946 55955 251433466
7941 7942 456813198
69238 69239 378936571
2223 2224 269995850
6549 6588 338612257
86854 86855 491541886
29991 30023 248355557
11533 11534 185060740
2889 2890 241061141
33497 33498 448532949
40625 40626 524980084
72865 72866 44956695
45197 45198 238988168
23332 23334 581458688
43999 44000 521396839
48692 48721 876908597
12436 12472 167831295
58200 58201 77335518
40141 40142 284357710
53722 53755 614991934
26638 26639 549104643
34219 34252 646307470
44798 44799 472805135
34255 34257 187544748
3043 3055 665708245
3534 3556 217113594
82341 82342 495249316
51108 51138 467072079
41272 41273 471261235
30922 30933 595934622
84063 84064 831259727
55595 55596 872740963
90809 90810 509880038
59652 59685 422327722
72061 72081 227507336
41893 41894 236333738
54955 54971 302671934
88440 88462 845917707
96777 96778 693272810
33569 33570 895846441
14442 14443 11725703
13133 13134 874708229
73971 74003 713324785
83576 83577 738045123
97665 97692 633676604
90776 90817 210713303
99513 99542 597111844
37291 37303 948907907
83365 83366 624817740
97138 97139 707582857
94476 94480 220369174
10960 10961 833287179
31801 31802 274879497
76949 76959 886417077
44633 44653 83088436
32494 32506 816662259
99767 99791 563073382
44299 44300 278798554
50287 50295 564433294
7113 7137 95928467
99032 99036 987353114
27306 27322 916125381
33093 33099 768958801
28112 28117 430948411
74629 74634 457303243
62696 62699 708625277
66334 66353 647923198
81540 81549 419057829
73757 73758 147302328
99341 99342 918360440
31380 31381 419890882
82010 82041 164921015
21122 21133 635094242
15185 15186 197641522
65469 65470 364387863
92229 92252 183642661
27721 27722 146545989
59572 59609 506156108
84230 84231 711618608
63717 63724 505942197
55962 55963 758083669
53722 53723 55805002
29717 29718 469953627
7956 7986 815529888
62403 62418 555250064
61845 61846 844091060
10538 10552 582600248
80539 80576 141202839
30241 30251 74043201
3211 3212 18463395
68516 68529 394300836
77008 77011 558947483
52467 52468 111090494
77088 77113 159944520
87489 87490 742243804
59923 59947 832840433
45354 45355 391734082
6303 6320 416697819
46808 46825 800946264
10832 10859 607936892
20853 20873 883420392
41172 41173 744826978
44208 44209 753820561
73848 73887 79110805
95081 95116 966635061
45898 45899 302662952
1442 1476 407033863
83836 83859 799915524
26537 26538 481915989
54533 54555 937403894
42654 42655 366039172
60256 60283 574648152
58455 58456 454375663
79790 79828 589716079
53763 53775 993455521
61379 61401 187029815
51134 51135 161804817
29571 29587 757801492
72282 72288 162094013
22567 22568 218899144
94461 94471 814098471
24609 24626 118418662
52578 52579 399860394
43510 43531 619943845
96519 96520 133140052
9982 9983 934122766
6854 6855 645942273
90418 90419 201675516
76893 76894 732674176
51970 51985 166598788
46974 46975 763377284
6814 6837 754006829
68053 68070 30610436
82298 82299 886386929
95768 95787 519695188
94858 94859 753235073
95853 95888 2475241
69735 69767 412893056
98635 98660 512186310
80836 80837 603900061
61773 61774 749892505
50720 50721 863932614
92542 92543 703638331
87885 87902 771909110
68565 68566 726760705
62337 62354 637985302
12932 12958 956069766
32727 32739 629725915
88003 88004 502617987
36463 36464 425532035
18223 18256 857990302
69397 69398 985273934
72390 72430 136374891
31205 31218 11717026
5312 5313 679638558
26861 26862 506534628
50215 50216 591540438
11475 11507 684487473
82634 82635 269431908
44543 44545 11959699
74483 74488 31924985
23954 23955 558450017
65493 65494 259068994
32556 32557 61523930
17999 18011 363648269
64724 64738 598577361
27640 27673 725479170
62112 62137 568120477
88495 88520 871837198
98185 98186 690965273
44843 44872 310457145
6194 6195 53015487
37026 37027 719093154
50480 50498 296186879
73366 73388 694846139
72522 72523 756657773
37961 37963 50821606
22040 22041 958468541
74 75 915670639
5482 5523 932086091
44266 44267 150953105
38643 38677 358219628
35914 35915 928292361
22420 22449 146989286
21457 21482 897432604
44031 44032 141211856
59443 59444 622987011
9956 9971 487681569
43406 43443 926376835
88489 88490 965738769
75587 75601 649050853
79519 79529 810353584
17392 17402 340778299
12214 12215 369009564
89404 89419 186136074
13505 13541 566240292
71931 71965 723322595
96718 96719 193122429
29108 29143 119213433
60647 60670 383773846
72798 72799 795119590
32990 33009 456609581
55047 55054 640018823
89267 89275 336002844
92645 92678 797798903
16349 16366 95089621
7553 7576 661191358
9720 9723 759764932
31552 31553 262854595
55976 55986 243461227
37840 37871 696645686
72104 72110 140587362
40839 40840 131762058
15572 15573 922332493
34038 34057 129693218
75150 75151 866977452
46871 46872 260175293
72761 72800 981090579
59658 59659 36303814
31851 31852 18950784
72575 72606 48162602
78821 78822 666576549
51690 51691 313852686
11387 11428 557399800
92084 92085 110946510
8971 8972 823208554
17750 17785 842924606
3094 3131 677427924
11999 12000 964055046
99944 99963 838382620
75911 75912 55225870
13969 14008 434194487
68946 68947 899086666
22124 22125 361467570
7925 7962 355619559
7906 7907 31888395
10963 10964 471060947
80316 80317 640869560
37540 37545 199358630
26688 26728 166216122
19520 19521 621074223
41583 41584 776320183
44545 44546 721449613
1959 1973 867719333
86713 86714 742659631
81283 81307 723811433
29038 29059 431303747
35064 35103 94485534
59932 59935 23054012
14456 14457 735009040
49300 49302 937054501
22785 22795 559285735
45017 45018 880472751
92040 92053 501006526
83785 83795 602246507
91399 91441 85250831
99802 99803 256691635
51985 52023 961204692
46011 46012 198641448
80494 80498 437329926
56883 56884 48237035
90702 90703 654400373
659 660 54030085
29265 29266 951258937
4148 4149 703863189
1392 1393 180074462
14533 14560 692707051
37671 37672 610497526
92749 92776 207360835
47740 47741 81587669
17416 17417 608999360
26838 26879 362336472
60975 60994 844790086
71080 71081 762828718
82692 82693 207786198
50156 50157 49721765
39855 39856 770017503
48528 48569 863007609
1463 1469 310325786
27921 27957 773917912
70315 70356 161357315
43930 43950 552430957
30343 30365 272506115
32926 32938 20691234
77829 77866 705281755
88344 88353 427398727
90220 90221 394923745
9651 9684 808152174
97103 97133 448790312
70599 70600 190048332
5519 5531 136078105
14925 14926 476197114
63096 63097 96271886
92859 92881 753794115
78509 78523 181553448
46504 46511 944483837
54106 54107 843112067
52647 52667 976617515
81709 81739 786563691
40556 40582 941012874
27671 27711 551507733
58276 58277 716762958
32208 32216 290172236
40290 40291 691694923
75393 75401 213651620
3788 3802 519619995
92109 92150 625186940
6469 6470 934458857
51539 51549 432374397
44748 44777 222969882
36931 36939 248860654
39953 39954 504878878
74941 74942 717797546
26946 26964 493523372
20571 20572 557863655
26968 26969 991062515
36954 36972 772228016
44172 44173 42659631
69690 69691 298815735
21773 21793 712143085
5977 5997 265562316
35701 35727 453189004
52904 52917 252713817
11381 11382 549707719
11875 11885 763683494
58369 58370 48676358
78325 78330 78688346
78431 78464 249246829
63153 63154 581611610
24376 24379 277318233
34239 34241 68121
77052 77053 710388625
80290 80308 927710641
30060 30061 90311476
79410 79436 833173483
64204 64242 853078595
22437 22438 365091243
96179 96213 942542953
31699 31703 365219170
99928 99929 206576459
9776 9777 901566019
33402 33403 266226734
29117 29118 708216908
54715 54716 36006687
50509 50510 136645822
52233 52234 141465697
95316 95355 201154684
70800 70808 369229916
94346 94355 70103838
53891 53912 15814896
3920 3931 317275721
3447 3448 173338105
25580 25607 864434481
63953 63967 589382900
8842 8845 394701972
28940 28949 282857305
90158 90167 377818022
29491 29492 799069160
4434 4467 191520528
96565 96582 337965038
59069 59070 548652801
17423 17461 578089541
29146 29147 448616514
82530 82532 389483318
32832 32833 654133434
70189 70190 658025255
51877 51896 292983427
14290 14291 600048417
45438 45440 476141132
3264 3265 471718783
46485 46495 458319457
97910 97941 262695146
21236 21237 569138396
49401 49402 486790081
89530 89531 763033486
37433 37434 334769220
24182 24183 737116476
67247 67270 118957706
94260 94261 956187760
19767 19768 330249479
35120 35143 70250508
16768 16769 206140637
61359 61397 737103786
56832 56833 300813314
97900 97901 327098001
43885 43888 539446259
70790 70791 664305961
42553 42554 615484368
95575 95576 5921498
45503 45504 416288939
33193 33224 278317588
68574 68598 706324074
99122 99143 889275252
20201 20202 478326293
167 168 302877034
55309 55323 785747944
4581 4582 361752027
15896 15928 655773549
32499 32524 970019449
98876 98877 440011472
36514 36518 103523269
88880 88881 441025960
83669 83709 733932926
55708 55746 889164392
65024 65025 538510865
60644 60645 618833086
81641 81661 907948030
33770 33779 22404849
98010 98011 235482549
23120 23121 871111892
84744 84745 895493304
53333 53341 655198752
68211 68216 51211220
88601 88602 332270747
6226 6227 932140313
11067 11109 5998652
67460 67461 244750642
55220 55228 59654545
81579 81580 469710849
61452 61453 219630979
9188 9189 956280508
78700 78701 328197777
15312 15342 611858788
61693 61694 33023492
29147 29148 866516718
4002 4003 707845802
20929 20957 181111901
24160 24161 640752768
22314 22315 174418540
19972 19973 686425403
14161 14162 706311168
97823 97835 139502817
17520 17524 646718814
75072 75112 25993724
54962 54963 704216730
21030 21054 600267565
56932 56942 470855347
18 19 609231018
10040 10061 988198691
87777 87778 475448850
96293 96294 309014300
7547 7548 438692773
7616 7617 779135347
55609 55610 933780439
69436 69477 492044055
57465 57495 58361929
42865 42866 677393248
95238 95239 445929907
3014 3015 892727441
66211 66227 590709285
65304 65329 280731155
65128 65129 493444730
19481 19491 334210236
33507 33508 965714757
79873 79902 628437385
12216 12218 241360309
51887 51913 869757410
11133 11152 348991000
11388 11389 664594451
68285 68303 606366857
72460 72497 155325378
30613 30650 628842535
92970 92986 308400207
11969 12008 388825511
27967 27968 438992156
85804 85805 854400246
18286 18287 267104346
80528 80556 753005484
57878 57890 892536890
84702 84705 508574417
82043 82066 402045207
68571 68592 690184966
11781 11821 483681856
60998 61010 233687835
60739 60774 985617188
11415 11435 177413374
49881 49882 642777438
39941 39942 51275307
40422 40434 105104633
47507 47514 548163947
9350 9351 352626784
50364 50365 783081974
3668 3669 122219057
64981 65018 735672467
47070 47093 301321482
31456 31466 27569553
64346 64347 528842961
36352 36353 911643940
93270 93283 541247443
79073 79074 792607117
32747 32786 791713389
18235 18270 878092872
75783 75784 562020230
63763 63764 841075119
62270 62280 691683589
71514 71546 868117895
84403 84404 594452147
45394 45413 848264231
33039 33040 479595694
55515 55553 893427797
75025 75049 301346734
34669 34670 93442139
40403 40438 190679280
22356 22367 875996761
46567 46568 936704164
87473 87478 715908417
76797 76798 944294873
17090 17120 137912597
89762 89764 859018276
87420 87455 97044677
69500 69514 779985519
49682 49683 334327031
92811 92816 552995711
3580 3606 549372343
44899 44940 14367337
23500 23538 866363519
9072 9084 300372388
55705 55706 467964297
99981 99994 591486214
81885 81886 191235933
93268 93269 234975618
62456 62457 910447458
220 221 463189259
60890 60905 285199613
88264 88265 664371220
98242 98243 769153850
10036 10037 959974904
31973 31974 41217413
31395 31396 164172267
3987 3990 162313327
45986 45987 532433029
56889 56890 108802012
95873 95874 935067105
1220 1250 33775692
266 267 597669305
77171 77172 49268679
32616 32635 457100022
73737 73738 95995208
97261 97262 443876258
87999 88038 56404184
11571 11585 626502824
34499 34500 942220169
77634 77647 224673884
75962 75977 64865577
60259 60260 847442097
64901 64902 477043209
31491 31492 62236042
98861 98862 86519655
83037 83038 223975490
56394 56402 197992839
91321 91322 629513258
51030 51031 488513583
47101 47138 582853643
2831 2847 56769447
39376 39414 977530859
60200 60215 21555643
16646 16647 889621112
48830 48831 568022942
20774 20775 228786556
28169 28195 963646571
15919 15956 370001020
78402 78403 726106626
51353 51388 277721073
75071 75094 433484314
79415 79416 596972714
5281 5282 680374796
29062 29063 44587107
14776 14789 738466111
65919 65931 965451857
84049 84083 478258518
75635 75636 221479026
1762 1795 827144008
24187 24228 908112541
96458 96459 448388948
10338 10339 194778687
44111 44145 696779733
88641 88642 379581128
97094 97095 671097635
55765 55766 869119972
85800 85801 264120963
36809 36847 786651360
38611 38612 629591727
64795 64797 167771337
96004 96005 939733002
2449 2450 226986792
47350 47383 131504859
22404 22405 829166282
39663 39671 220998941
56194 56215 862276228
27752 27768 596251129
9215 9255 559650463
35323 35350 354820526
18890 18891 760374448
93688 93689 622562912
58498 58499 892125143
54676 54717 125138508
64023 64035 400029084
15086 15101 238646279
86519 86520 90440362
93978 93980 668470466
74507 74513 88449919
3328 3368 794890112
93385 93403 323216260
90509 90525 230554566
30424 30425 388165471
11590 11591 999788205
95113 95139 820261839
41967 41968 425505099
3164 3202 17519148
94428 94455 401117874
39951 39992 888749177
42580 42581 20224582
39870 39871 60511303
4348 4349 288913324
57806 57807 824643747
64175 64200 19289770
46767 46768 344644141
14720 14754 357836598
87439 87453 876502879
36046 36047 759254459
75411 75412 320057897
13020 13021 503649331
79054 79089 627457665
22279 22282 468672600
23125 23153 811445873
42694 42695 370176353
87563 87601 649791040
79824 79841 352811014
1761 1796 451144871
6083 6084 268243416
11194 11225 151349989
51718 51759 301987048
52939 52973 524172480
973 974 243801502
14949 14980 227830292
8423 8424 474429028
92757 92798 492581888
54706 54707 466598562
38791 38828 783197850
28750 28751 428736590
8270 8271 146519281
81063 81064 467005012
22447 22458 466098750
48542 48562 702423856
73528 73529 679326409
96997 96998 787003639
35804 35838 369464958
56508 56540 879809767
74798 74824 319182196
33511 33530 980118074
21172 21184 836568455
36832 36833 417464483
17214 17215 208938402
44287 44288 173738637
34051 34052 503028065
81046 81050 248667628
10858 10900 945050171
32871 32872 995093250
88974 88989 379197588
39190 39201 397772793
88462 88465 664707508
54034 54049 151131001
17414 17415 607559433
8853 8854 457325004
12052 12069 561771416
99989 99996 458963591
9500 9501 130910958
64799 64800 10321055
38224 38259 5925788
65117 65118 225310086
21728 21758 577038177
69187 69220 154966973
13123 13129 5390855
38938 38939 458995628
4770 4771 766553444
49648 49649 975625015
91149 91177 165085052
77378 77399 492191056
31046 31085 45475025
8147 8171 205964473
85664 85701 850788920
49957 49995 741021928
64610 64611 194854948
89547 89548 133655551
52245 52276 231043279
70274 70275 246401752
71480 71496 659510147
68928 68954 501703723
48176 48177 197649866
23589 23590 681820736
16878 16879 923587945
57415 57416 315522149
55795 55796 405473892
11539 11579 460125822
92696 92731 266735561
34040 34060 927045532
24825 24864 501833809
96417 96439 568164125
81879 81920 877154900
