100000 200000
10654 10722 624355322
42968 42996 973495484
73720 73758 541989818
1244 1308 755507534
99532 99618 665004516
44869 44953 421117497
28176 28232 457234222
44340 44404 556285768
4235 4335 42307325
45222 45274 621356861
1164 1214 900586282
70401 70477 602621755
62974 63066 209332216
36693 36751 344542334
28179 28233 559132418
68412 68428 960719792
18621 18685 836391720
44598 44646 425643648
73627 73669 371303764
23087 23115 643848891
48912 48934 612114141
40089 40091 593232036
43771 43833 115250709
23045 23117 187447901
92140 92206 78163328
99190 99270 263562060
38294 38304 440271375
26115 26177 639311265
78042 78118 313559889
94268 94368 727721960
32446 32522 628593658
53628 53662 856921657
12426 12468 919050587
37067 37075 802198893
9686 9718 661729266
5 103 322811791
68875 68953 218729528
32633 32719 654590672
85463 85503 19814383
15040 15092 282368894
40295 40367 948649989
97026 97074 175536720
43261 43277 490233088
62426 62496 315058369
55954 55956 55531354
6438 6534 736640780
17934 17988 469023661
61206 61230 218583633
39564 39584 208384399
2026 2122 745353145
3662 3690 344022484
8955 9005 486702978
20074 20106 402810492
75346 75398 7902396
21340 21378 916437425
14568 14578 91854036
91803 91831 837876846
88360 88456 572431906
52612 52636 21736653
93887 93921 768960837
35100 35178 411724378
59839 59853 839986823
46018 46054 773498052
22518 22602 25951682
60867 60919 568258319
87693 87739 40966340
60975 61065 898657583
38822 38884 94871786
26951 26997 578692900
38024 38028 411590889
61399 61493 66025653
54071 54153 62168192
45942 46016 996836379
58960 58982 483422931
23659 23661 947462086
44490 44544 177579164
26833 26875 964758074
10625 10701 979940436
57525 57599 930935438
79555 79631 232721724
2236 2336 248681998
32746 32824 637422120
65366 65398 267699199
39705 39733 105939849
36224 36306 30024262
31340 31396 471621967
83482 83514 173318855
85153 85247 6775858
3933 3941 363816973
21890 21892 788733086
3714 3780 117937337
5001 5055 916175789
60992 61088 881203562
97519 97547 372660828
21290 21346 442203421
48406 48452 452152236
34735 34827 319100420
68606 68694 822822409
8422 8486 784727630
68571 68599 439481894
21661 21679 64075662
12229 12293 955931817
94361 94413 476444342
27432 27440 184732354
7352 7358 894446662
1973 2035 553662268
31995 32081 925418920
94749 94769 73169341
55083 55147 404378859
98772 98854 799963374
72288 72370 496826156
43239 43317 975747682
43100 43152 797658722
15763 15799 476528987
67093 67141 47946876
59784 59842 128580233
97374 97444 27353915
76213 76273 937793669
52575 52611 685442131
38514 38588 216311565
66347 66373 126976393
21264 21314 914451759
67773 67825 962521616
16846 16868 734504609
97741 97759 909672153
85851 85917 79435666
44803 44865 675808793
52993 53079 530353690
54520 54576 170821298
49374 49422 601191026
86738 86750 265154873
35944 35990 72110005
12718 12720 8694112
80363 80417 539624839
59077 59103 153919187
84306 84310 982301923
25094 25178 768879713
64896 64908 293672185
56378 56478 630501261
70147 70179 819287058
74009 74109 820620642
11258 11294 300911566
19063 19139 237581600
16366 16448 212228376
77863 77865 73979092
29314 29350 181362995
62257 62265 516104972
55890 55978 461211580
76377 76437 956986924
13228 13316 247556267
50893 50969 497044755
80574 80636 583902291
