100000 200000
73912 73913 679452582
58399 58400 961022482
52688 52701 272765019
2053 2082 588372590
82910 82952 766407268
83717 83747 854374440
78897 78898 254293026
50700 50701 544707920
66561 66615 43833034
5740 5741 85761559
69214 69215 338185006
40639 40685 563408506
1342 1349 996239415
18647 18648 104894876
12013 12054 296537784
18444 18445 52697523
95210 95218 525239025
1564 1565 847401983
19830 19846 966774140
43729 43767 46094872
77947 77964 582031880
46964 46965 748688181
63949 63950 14981149
57188 57189 433419389
37461 37475 480479976
29762 29806 402196821
46754 46755 864079056
68438 68439 725048942
79157 79175 553171522
90766 90767 663926100
4700 4710 106219702
49065 49086 826281316
99366 99367 754219632
1278 1279 497930055
77859 77866 731803171
53621 53633 27364027
90508 90509 494358348
71965 71969 777267916
60375 60423 521827383
50705 50706 876897787
39878 39879 756559554
93652 93653 983569703
67818 67859 494303238
15105 15106 919163358
40698 40699 404873933
35773 35780 143223538
1783 1784 641677280
56862 56899 420659141
69862 69863 750971980
3831 3856 885823403
23108 23109 309942639
95924 95925 566748
36298 36299 756172271
48888 48901 698337528
38469 38470 593429847
8463 8464 107484301
78445 78446 961734944
45621 45622 307214821
34506 34556 189623715
89254 89269 784223255
19960 19961 448503452
40012 40013 779289493
30243 30244 612146459
93418 93419 112846269
77580 77588 550422398
79615 79640 627058346
51335 51336 786589227
74713 74714 309947687
79350 79351 654114511
70448 70449 294995363
12134 12135 805743159
72641 72668 14679862
16273 16274 77421306
5961 5962 758466505
53048 53049 634269312
51306 51307 342553175
96558 96559 51767658
56827 56872 988962788
46718 46719 983202379
36421 36422 717669673
24601 24611 906596979
10968 10969 17450218
30149 30150 631442540
48101 48102 169992407
6129 6130 760689050
57699 57741 770948148
11981 11982 949789181
17772 17813 360523488
87738 87739 934100699
89145 89146 370084335
84786 84805 306153241
14222 14223 462224705
66900 66929 517335752
16677 16696 701727365
27724 27725 670427400
28049 28050 407270334
57412 57438 266807252
17454 17455 641777185
56403 56444 207918090
65060 65061 913482149
58048 58049 978911935
24575 24576 693295588
67514 67537 762088483
20212 20255 302927839
21635 21636 696599811
38117 38118 706568308
85733 85778 56100480
29196 29197 91872263
70340 70341 158094535
9670 9671 20801017
27868 27871 594276492
57203 57212 927438606
67788 67805 166363921
82837 82843 250426606
23615 23616 158332498
99101 99133 863055867
14409 14459 341639122
75396 75397 275362780
66876 66877 714588397
75389 75430 858566897
70570 70583 368580424
8397 8398 340537915
50005 50006 601643442
69648 69698 172123736
10467 10513 718465134
26540 26557 96332858
47689 47690 945696967
71861 71914 513009906
6225 6241 734892828
36910 36922 772691660
64943 64944 881613514
427 430 103589551
14840 14864 839114617
38727 38766 575069890
13394 13395 937901617
70098 70120 510000198
21999 22037 464361592
25270 25271 800611030
99306 99307 783297044
90160 90217 932465903
29224 29225 198902573
72755 72756 696615585
56442 56459 363743712
56951 56952 110033486
31127 31128 678294906
62209 62245 115737773
38540 38541 178911294
15329 15330 45317090
37650 37651 522067558
1184 1221 261127082
21215 21271 969601333
89774 89821 604475844
82574 82624 495964800
8713 8743 939270238
589 590 462335728
32103 32104 462127083
79909 79910 550316110
94712 94713 653585236
27660 27671 708410730
87966 87967 589337716
65868 65899 150591601
25794 25809 169576181
99646 99648 821049629
10319 10339 369797472
37300 37344 169282837
92072 92097 382703427
91406 91407 341688957
45730 45757 662617872
98426 98444 803502296
39440 39467 446361425
39604 39605 141687487
85906 85949 488181460
8029 8068 873685130
72426 72454 992330739
30314 30350 326126296
29227 29228 481149234
48297 48350 169170972
24216 24224 10378881
38609 38610 650283015
44477 44478 933230202
78134 78167 289813341
25818 25819 886892085
