100000 200000
26504 26450 258578924
49543 49544 28958186
75174 75175 89459846
39175 39228 119699475
67023 66991 533730974
53852 53853 255678121
83437 83491 766619253
14747 14796 587566819
84623 84624 659390415
22177 22178 404926945
8381 8380 301771415
20798 20842 693041202
83329 83347 695902922
12006 12038 375069580
11239 11185 286784694
66801 66802 553283300
99607 99585 49858337
42609 42610 898178171
4261 4290 461699610
82065 82017 882544679
31570 31586 78744659
97325 97326 358954933
59996 59977 895135077
46204 46205 969788718
61507 61511 891709786
31304 31305 257735805
33396 33449 870802905
95799 95800 601514298
14651 14652 694001756
35082 35075 308842380
71816 71817 177325330
81074 81099 174803658
28695 28714 947237050
15347 15348 232420961
24354 24355 794893040
54915 54916 418720208
86294 86295 167047456
70220 70193 137810895
28625 28613 521352210
69823 69869 425365020
3638 3639 911280709
41936 41978 600733941
82115 82082 961555697
72815 72816 34641369
93183 93232 889980858
26367 26368 748144909
39 48 328976628
70245 70246 620847725
40516 40485 990868437
32021 32022 192540656
47008 47009 49486244
92012 92013 715522667
25589 25644 109945342
48458 48455 242033326
59491 59492 978379510
28122 28123 625786916
52638 52688 345413469
3965 3966 592939275
56508 56521 926051246
30417 30418 70337692
43014 43015 22368433
9391 9413 262235315
6861 6862 686617785
45667 45668 1696441
26177 26178 29843594
87322 87273 436106950
76893 76884 267295248
32413 32414 347561455
95304 95294 463752547
69562 69563 257225064
80265 80234 348879829
95218 95169 625185008
18728 18729 533949366
82933 82988 901244097
24188 24133 369754133
26989 26999 302542504
2763 2813 935207523
40687 40734 638054332
75269 75270 897935712
72162 72164 743038586
77061 77062 907306670
5342 5372 513897267
38269 38270 360747348
64576 64597 94363127
89900 89901 839284948
96119 96120 946835360
99719 99720 630595479
78973 78974 40340351
98277 98273 572548945
70441 70442 801083612
59604 59605 554193337
2228 2181 81487219
4097 4098 33526875
99401 99402 926235555
55660 55661 937693824
80711 80713 914143660
60513 60499 732310440
46426 46434 718116177
20792 20755 922530913
49620 49621 189704053
96905 96938 307618228
58621 58622 705818053
77435 77381 66480746
99664 99714 493664516
99471 99523 675959737
27200 27193 496785927
30355 30356 633066504
38373 38393 343866902
60106 60120 634817066
5913 5955 31752392
88054 88052 242494987
9734 9770 271459674
52338 52340 746152814
